param,min,max,default,not_vegetated,needleleaf_evergreen_temperate_tree,needleleaf_evergreen_boreal_tree,needleleaf_deciduous_boreal_tree,broadleaf_evergreen_tropical_tree,broadleaf_evergreen_temperate_tree,broadleaf_deciduous_tropical_tree,broadleaf_deciduous_temperate_tree,broadleaf_deciduous_boreal_tree,broadleaf_evergreen_shrub,broadleaf_deciduous_temperate_shrub,broadleaf_deciduous_boreal_shrub,c3_arctic_grass,c3_non-arctic_grass,c4_grass,c3_crop,c3_irrigated
FUN_fracfixers,0,1,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0
KCN,90percent,900percent,,,,,,,,,,,,,,,,,,
a_fix,-4.14,-3.1,-3.62,,,,,,,,,,,,,,,,,
crit_dayl,31440,47160,39300,,,,,,,,,,,,,,,,,
d_max,10,60,15,,,,,,,,,,,,,,,,,
fff,0.02,5,0.5,,,,,,,,,,,,,,,,,
fstor2tran,0.4,0.6,0.5,,,,,,,,,,,,,,,,,
grperc,0.05,0.3,0.11,,,,,,,,,,,,,,,,,
jmaxb0,0.02055,0.05,0.0311,,,,,,,,,,,,,,,,,
jmaxb1,0.05,0.25,,,,,,,,,,,,,,,,,,
kcha,39715,119145,79430,,,,,,,,,,,,,,,,,
lmrha,23195,69585,46390,,,,,,,,,,,,,,,,,
lmrhd,145942,225975,150650,,,,,,,,,,,,,,,,,
nstem,30percent,30percent,,0,0.08,0.08,0.08,0.06,0.035,0.08,0.5,0.5,0.5,100,100,100,100,100,100,100
q10_mr,1.25,3,1.5,,,,,,,,,,,,,,,,,
soilpsi_off,-0.64,-0.96,-0.8,,,,,,,,,,,,,,,,,
sucsat_sf,0.5,5,1,,,,,,,,,,,,,,,,,
tpu25ratio,0.0835,0.501,0.167,,,,,,,,,,,,,,,,,
tpuse_sf,0.8,1.2,1,,,,,,,,,,,,,,,,,
wc2wjb0,0.6527,1.5,0.8054,,,,,,,,,,,,,,,,,